"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001711","GO:0001711","endodermal cell fate commitment","3/3","15/21077",2.91607089534424e-10,6.67780235033832e-08,6.44605145286622e-09,"Pou5f1/Sox2/Nanog",3
"GO:0035987","GO:0035987","endodermal cell differentiation","3/3","27/21077",1.87461700414986e-09,2.00187305623328e-07,1.93239872125484e-08,"Pou5f1/Sox2/Nanog",3
"GO:0060795","GO:0060795","cell fate commitment involved in formation of primary germ layer","3/3","31/21077",2.8808216867192e-09,2.00187305623328e-07,1.93239872125484e-08,"Pou5f1/Sox2/Nanog",3
"GO:0001706","GO:0001706","endoderm formation","3/3","33/21077",3.49672149560399e-09,2.00187305623328e-07,1.93239872125484e-08,"Pou5f1/Sox2/Nanog",3
"GO:0035019","GO:0035019","somatic stem cell population maintenance","3/3","55/21077",1.68138725141441e-08,7.70075361147801e-07,7.43350153256898e-08,"Pou5f1/Sox2/Nanog",3
"GO:0007492","GO:0007492","endoderm development","3/3","71/21077",3.66303367084395e-08,1.39805785103878e-06,1.34953872083725e-07,"Pou5f1/Sox2/Nanog",3
"GO:0032526","GO:0032526","response to retinoic acid","3/3","85/21077",6.33011697435492e-08,2.07085255303897e-06,1.99898430769103e-07,"Pou5f1/Sox2/Nanog",3
"GO:0001708","GO:0001708","cell fate specification","3/3","89/21077",7.2782565968983e-08,2.08340095086214e-06,2.01109721756401e-07,"Pou5f1/Sox2/Nanog",3
"GO:0001704","GO:0001704","formation of primary germ layer","3/3","94/21077",8.59080894715435e-08,2.18588360988705e-06,2.11002325017826e-07,"Pou5f1/Sox2/Nanog",3
"GO:0019827","GO:0019827","stem cell population maintenance","3/3","166/21077",4.79812227804047e-07,1.00143185960966e-05,9.66677501806613e-07,"Pou5f1/Sox2/Nanog",3
"GO:0098727","GO:0098727","maintenance of cell number","3/3","170/21077",5.15561334296859e-07,1.00143185960966e-05,9.66677501806613e-07,"Pou5f1/Sox2/Nanog",3
"GO:0007369","GO:0007369","gastrulation","3/3","171/21077",5.24767786695018e-07,1.00143185960966e-05,9.66677501806613e-07,"Pou5f1/Sox2/Nanog",3
"GO:0048863","GO:0048863","stem cell differentiation","3/3","230/21077",1.28272511081223e-06,2.25956961827693e-05,2.18115201028801e-06,"Pou5f1/Sox2/Nanog",3
"GO:0042659","GO:0042659","regulation of cell fate specification","2/3","17/21077",1.83606077886109e-06,3.00327084542279e-05,2.89904333504383e-06,"Pou5f1/Nanog",2
"GO:0001710","GO:0001710","mesodermal cell fate commitment","2/3","18/21077",2.06550300495909e-06,3.15333458757088e-05,3.04389916520288e-06,"Pou5f1/Nanog",2
"GO:0045165","GO:0045165","cell fate commitment","3/3","278/21077",2.27022592239041e-06,3.24926085142127e-05,3.13649634014464e-06,"Pou5f1/Sox2/Nanog",3
"GO:0048333","GO:0048333","mesodermal cell differentiation","2/3","23/21077",3.41496448111907e-06,4.60015803633098e-05,4.44051109000003e-06,"Pou5f1/Nanog",2
"GO:0001101","GO:0001101","response to acid chemical","3/3","354/21077",4.69846571541576e-06,5.97749249350116e-05,5.77004561542286e-06,"Pou5f1/Sox2/Nanog",3
"GO:0010453","GO:0010453","regulation of cell fate commitment","2/3","32/21077",6.69304282635834e-06,8.06687793282137e-05,7.78691963177425e-06,"Pou5f1/Nanog",2
"GO:0031128","GO:0031128","developmental induction","2/3","43/21077",1.21808722698816e-05,0.000139470987490144,1.34630693509217e-05,"Pou5f1/Sox2",2
"GO:2000648","GO:2000648","positive regulation of stem cell proliferation","2/3","56/21077",2.07650268073422e-05,0.000226437673280065,2.1857922955097e-05,"Sox2/Nanog",2
"GO:0001707","GO:0001707","mesoderm formation","2/3","64/21077",2.71764169206818e-05,0.000282881794310733,2.73064476236516e-05,"Pou5f1/Nanog",2
"GO:0048332","GO:0048332","mesoderm morphogenesis","2/3","68/21077",3.07043794694429e-05,0.000305708821674018,2.9509929924865e-05,"Pou5f1/Nanog",2
"GO:0072091","GO:0072091","regulation of stem cell proliferation","2/3","90/21077",5.39443730616583e-05,0.000514719226296656,4.96856067673168e-05,"Sox2/Nanog",2
"GO:0007498","GO:0007498","mesoderm development","2/3","118/21077",9.28956958346979e-05,0.000850924573845833,8.21393521064697e-05,"Pou5f1/Nanog",2
"GO:0072089","GO:0072089","stem cell proliferation","2/3","142/21077",0.00013461830754447,0.00118567663183398,0.000114452812082343,"Sox2/Nanog",2
"GO:0051302","GO:0051302","regulation of cell division","2/3","159/21077",0.000168817020535856,0.00143181843343374,0.000138212765350993,"Pou5f1/Nanog",2
"GO:0030509","GO:0030509","BMP signaling pathway","2/3","166/21077",0.0001840167664158,0.00150499426818636,0.000145276394538789,"Pou5f1/Nanog",2
"GO:0071772","GO:0071772","response to BMP","2/3","177/21077",0.000209218152873063,0.00159703190026438,0.000154160744222257,"Pou5f1/Nanog",2
"GO:0071773","GO:0071773","cellular response to BMP stimulus","2/3","177/21077",0.000209218152873063,0.00159703190026438,0.000154160744222257,"Pou5f1/Nanog",2
"GO:0060828","GO:0060828","regulation of canonical Wnt signaling pathway","2/3","225/21077",0.000337971719517813,0.00249662979901869,0.000240998509673144,"Pou5f1/Sox2",2
