"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0014807","GO:0014807","regulation of somitogenesis","1/2","10/21077",0.000948699043506696,0.0167724489099355,NA,"Cdx2",1
"GO:0060575","GO:0060575","intestinal epithelial cell differentiation","1/2","22/21077",0.00208654359405691,0.0167724489099355,NA,"Cdx2",1
"GO:0001829","GO:0001829","trophectodermal cell differentiation","1/2","25/21077",0.00237090343027579,0.0167724489099355,NA,"Cdx2",1
"GO:0045197","GO:0045197","establishment or maintenance of epithelial cell apical/basal polarity","1/2","42/21077",0.00398151044701744,0.0167724489099355,NA,"Cdx2",1
"GO:0035088","GO:0035088","establishment or maintenance of apical/basal cell polarity","1/2","50/21077",0.00473899293224966,0.0167724489099355,NA,"Cdx2",1
"GO:0061245","GO:0061245","establishment or maintenance of bipolar cell polarity","1/2","50/21077",0.00473899293224966,0.0167724489099355,NA,"Cdx2",1
"GO:0009948","GO:0009948","anterior/posterior axis specification","1/2","54/21077",0.00511762612001876,0.0167724489099355,NA,"Cdx2",1
"GO:0035019","GO:0035019","somatic stem cell population maintenance","1/2","55/21077",0.00521227316124817,0.0167724489099355,NA,"Cdx2",1
"GO:0008333","GO:0008333","endosome to lysosome transport","1/2","58/21077",0.0054961872712237,0.0167724489099355,NA,"Cdx2",1
"GO:0001825","GO:0001825","blastocyst formation","1/2","59/21077",0.00559081630331182,0.0167724489099355,NA,"Cdx2",1
"GO:0060711","GO:0060711","labyrinthine layer development","1/2","59/21077",0.00559081630331182,0.0167724489099355,NA,"Cdx2",1
"GO:0001756","GO:0001756","somitogenesis","1/2","76/21077",0.00719882099915914,0.0197967577476876,NA,"Cdx2",1
"GO:0009798","GO:0009798","axis specification","1/2","92/21077",0.00871104858017147,0.0202144350750272,NA,"Cdx2",1
"GO:0061053","GO:0061053","somite development","1/2","95/21077",0.00899446293648098,0.0202144350750272,NA,"Cdx2",1
"GO:0007041","GO:0007041","lysosomal transport","1/2","101/21077",0.00956117008739654,0.0202144350750272,NA,"Cdx2",1
"GO:0035282","GO:0035282","segmentation","1/2","105/21077",0.00993888480896798,0.0202144350750272,NA,"Cdx2",1
"GO:0001892","GO:0001892","embryonic placenta development","1/2","114/21077",0.0107884795488149,0.0202144350750272,NA,"Cdx2",1
"GO:0048565","GO:0048565","digestive tract development","1/2","122/21077",0.0115433687177239,0.0202144350750272,NA,"Cdx2",1
"GO:0045995","GO:0045995","regulation of embryonic development","1/2","132/21077",0.0124865749731847,0.0202144350750272,NA,"Cdx2",1
"GO:0055123","GO:0055123","digestive system development","1/2","135/21077",0.0127694490552598,0.0202144350750272,NA,"Cdx2",1
"GO:0007034","GO:0007034","vacuolar transport","1/2","136/21077",0.012863731411381,0.0202144350750272,NA,"Cdx2",1
"GO:0002065","GO:0002065","columnar/cuboidal epithelial cell differentiation","1/2","146/21077",0.013806307346902,0.0206201745370085,NA,"Cdx2",1
"GO:0001824","GO:0001824","blastocyst development","1/2","152/21077",0.014371636798521,0.0206201745370085,NA,"Cdx2",1
"GO:0019827","GO:0019827","stem cell population maintenance","1/2","166/21077",0.0156901085323593,0.020750670957047,NA,"Cdx2",1
"GO:0098727","GO:0098727","maintenance of cell number","1/2","170/21077",0.0160666526597568,0.020750670957047,NA,"Cdx2",1
"GO:0001890","GO:0001890","placenta development","1/2","173/21077",0.0163490134813098,0.020750670957047,NA,"Cdx2",1
"GO:0007163","GO:0007163","establishment or maintenance of cell polarity","1/2","220/21077",0.0207673761670973,0.0253823486486745,NA,"Cdx2",1
"GO:0009952","GO:0009952","anterior/posterior pattern specification","1/2","231/21077",0.0218000248219992,0.0256928863973562,NA,"Cdx2",1
"GO:0003002","GO:0003002","regionalization","1/2","375/21077",0.03526808898241,0.0401326529799838,NA,"Cdx2",1
"GO:0048608","GO:0048608","reproductive structure development","1/2","453/21077",0.0425243096166481,0.0453846725194815,NA,"Cdx2",1
"GO:0061458","GO:0061458","reproductive system development","1/2","457/21077",0.0428956851205405,0.0453846725194815,NA,"Cdx2",1
"GO:0007389","GO:0007389","pattern specification process","1/2","469/21077",0.0440093794128306,0.0453846725194815,NA,"Cdx2",1
"GO:0048568","GO:0048568","embryonic organ development","1/2","492/21077",0.046142147969893,0.046142147969893,NA,"Cdx2",1
