"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","url"
"mmu04550","mmu04550","Signaling pathways regulating pluripotency of stem cells","5/6","138/8657",5.67275115385441e-09,9.07640184616705e-08,6.568448704463e-08,"12159/16468/71950/20674/13590",5,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04550/12159/16468/71950/20674/13590"")"
"mmu04350","mmu04350","TGF-beta signaling pathway","2/6","95/8657",0.00173693819227553,0.0138955055382042,0.0100559579552794,"12159/13590",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04350/12159/13590"")"
"mmu04390","mmu04390","Hippo signaling pathway","2/6","154/8657",0.00449990019123579,0.0239994676865909,0.0173680358258223,"12159/20674",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04390/12159/20674"")"
"mmu05217","mmu05217","Basal cell carcinoma","1/6","63/8657",0.0428895185655469,0.156446386212081,0.113217779495585,"12159",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05217/12159"")"
"mmu05218","mmu05218","Melanoma","1/6","72/8657",0.0488894956912752,0.156446386212081,0.113217779495585,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05218/14175"")"
"mmu04919","mmu04919","Thyroid hormone signaling pathway","1/6","118/8657",0.0790688287830967,0.177047016987313,0.128126130714503,"12159",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04919/12159"")"
"mmu05418","mmu05418","Fluid shear stress and atherosclerosis","1/6","144/8657",0.0957707301885975,0.177047016987313,0.128126130714503,"12159",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05418/12159"")"
"mmu05224","mmu05224","Breast cancer","1/6","147/8657",0.0976815216439678,0.177047016987313,0.128126130714503,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05224/14175"")"
"mmu05226","mmu05226","Gastric cancer","1/6","150/8657",0.0995889470553634,0.177047016987313,0.128126130714503,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05226/14175"")"
"mmu05205","mmu05205","Proteoglycans in cancer","1/6","205/8657",0.133967549072257,0.185156525176192,0.133994853745929,"71950",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05205/71950"")"
"mmu04015","mmu04015","Rap1 signaling pathway","1/6","214/8657",0.139487567938332,0.185156525176192,0.133994853745929,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04015/14175"")"
"mmu04810","mmu04810","Regulation of actin cytoskeleton","1/6","216/8657",0.140710248409243,0.185156525176192,0.133994853745929,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04810/14175"")"
"mmu04014","mmu04014","Ras signaling pathway","1/6","232/8657",0.150439676705656,0.185156525176192,0.133994853745929,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04014/14175"")"
"mmu04010","mmu04010","MAPK signaling pathway","1/6","294/8657",0.187278759742951,0.201007549998441,0.145465990130451,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04010/14175"")"
"mmu04060","mmu04060","Cytokine-cytokine receptor interaction","1/6","296/8657",0.188444578123538,0.201007549998441,0.145465990130451,"12159",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04060/12159"")"
"mmu04151","mmu04151","PI3K-Akt signaling pathway","1/6","355/8657",0.222214795254976,0.222214795254976,0.160813338671364,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04151/14175"")"
