"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019827","GO:0019827","stem cell population maintenance","7/13","166/21077",2.72968584373245e-12,1.31370531540434e-09,5.23591052383377e-10,"Esrrb/Klf4/Nanog/Pou5f1/Sox2/Cdx2/Fgf4",7
"GO:0098727","GO:0098727","maintenance of cell number","7/13","170/21077",3.2313945807861e-12,1.31370531540434e-09,5.23591052383377e-10,"Esrrb/Klf4/Nanog/Pou5f1/Sox2/Cdx2/Fgf4",7
"GO:0007369","GO:0007369","gastrulation","7/13","171/21077",3.36847516770344e-12,1.31370531540434e-09,5.23591052383377e-10,"Bmp4/Klf4/Nanog/Pou5f1/Sox2/Tcf3/Lefty1",7
"GO:0032526","GO:0032526","response to retinoic acid","5/13","85/21077",1.18797775398517e-09,3.47483493040664e-07,1.38493196056693e-07,"Klf4/Nanog/Pou5f1/Sox2/Lefty1",5
"GO:0048863","GO:0048863","stem cell differentiation","6/13","230/21077",2.5466723045189e-09,5.28761328304366e-07,2.10743381411457e-07,"Bmp4/Esrrb/Gbx2/Nanog/Pou5f1/Sox2",6
"GO:0060795","GO:0060795","cell fate commitment involved in formation of primary germ layer","4/13","31/21077",2.711596555407e-09,5.28761328304366e-07,2.10743381411457e-07,"Bmp4/Nanog/Pou5f1/Sox2",4
"GO:0007389","GO:0007389","pattern specification process","7/13","469/21077",3.94926332875485e-09,6.60091156377597e-07,2.63086263855399e-07,"Bmp4/Gbx2/Nanog/Pou5f1/Smad6/Cdx2/Lefty1",7
"GO:0035019","GO:0035019","somatic stem cell population maintenance","4/13","55/21077",2.91512000472619e-08,4.26336300691205e-06,1.69920810801803e-06,"Nanog/Pou5f1/Sox2/Cdx2",4
"GO:0003002","GO:0003002","regionalization","6/13","375/21077",4.70721207322103e-08,6.11937569518734e-06,2.43894146016014e-06,"Bmp4/Gbx2/Pou5f1/Smad6/Cdx2/Lefty1",6
"GO:0001667","GO:0001667","ameboidal-type cell migration","6/13","410/21077",7.98706593716033e-08,8.09680212116844e-06,3.22706553277339e-06,"Bmp4/Gbx2/Klf4/Fgf4/Lefty1/Pecam1",6
"GO:0007492","GO:0007492","endoderm development","4/13","71/21077",8.25956331790164e-08,8.09680212116844e-06,3.22706553277339e-06,"Bmp4/Nanog/Pou5f1/Sox2",4
"GO:0001711","GO:0001711","endodermal cell fate commitment","3/13","15/21077",8.30441243196763e-08,8.09680212116844e-06,3.22706553277339e-06,"Nanog/Pou5f1/Sox2",3
"GO:0001710","GO:0001710","mesodermal cell fate commitment","3/13","18/21077",1.48772897788893e-07,1.33895608010004e-05,5.33655009882426e-06,"Bmp4/Nanog/Pou5f1",3
"GO:0090092","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","5/13","232/21077",1.85366920281982e-07,1.54913783378514e-05,6.17425155525701e-06,"Bmp4/Nanog/Pou5f1/Smad6/Lefty1",5
"GO:0009798","GO:0009798","axis specification","4/13","92/21077",2.35820601868478e-07,1.83940069457413e-05,7.33112467563059e-06,"Bmp4/Smad6/Cdx2/Lefty1",4
"GO:0001704","GO:0001704","formation of primary germ layer","4/13","94/21077",2.57195013712707e-07,1.88073853777417e-05,7.4958809917585e-06,"Bmp4/Nanog/Pou5f1/Sox2",4
"GO:0048333","GO:0048333","mesodermal cell differentiation","3/13","23/21077",3.22313946573048e-07,2.21827833817921e-05,8.84118132085822e-06,"Bmp4/Nanog/Pou5f1",3
"GO:0001829","GO:0001829","trophectodermal cell differentiation","3/13","25/21077",4.18291564737624e-07,2.71889517079456e-05,1.0836442291156e-05,"Esrrb/Pou5f1/Cdx2",3
"GO:0045165","GO:0045165","cell fate commitment","5/13","278/21077",4.54547769663237e-07,2.79905731845256e-05,1.11559369507376e-05,"Bmp4/Nanog/Pou5f1/Sox2/Tcf3",5
"GO:0035987","GO:0035987","endodermal cell differentiation","3/13","27/21077",5.31579061773013e-07,3.10973751137213e-05,1.23941854929181e-05,"Nanog/Pou5f1/Sox2",3
"GO:0010453","GO:0010453","regulation of cell fate commitment","3/13","32/21077",8.99809237013965e-07,5.01322289193495e-05,1.99807264158991e-05,"Bmp4/Nanog/Pou5f1",3
"GO:0001706","GO:0001706","endoderm formation","3/13","33/21077",9.89437760686748e-07,5.1168628722207e-05,2.03937944434887e-05,"Nanog/Pou5f1/Sox2",3
"GO:0045995","GO:0045995","regulation of embryonic development","4/13","132/21077",1.00587902616304e-06,5.1168628722207e-05,2.03937944434887e-05,"Bmp4/Klf4/Nanog/Cdx2",4
"GO:0001101","GO:0001101","response to acid chemical","5/13","354/21077",1.49696388688333e-06,7.29769894855624e-05,2.90857456968998e-05,"Klf4/Nanog/Pou5f1/Sox2/Lefty1",5
"GO:0007178","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","5/13","358/21077",1.58194935459586e-06,7.40352297950864e-05,2.95075184878302e-05,"Bmp4/Nanog/Pou5f1/Smad6/Lefty1",5
"GO:0051302","GO:0051302","regulation of cell division","4/13","159/21077",2.11458220484893e-06,9.51561992182017e-05,3.79255027023512e-05,"Esrrb/Nanog/Pou5f1/Fgf4",4
"GO:0031128","GO:0031128","developmental induction","3/13","43/21077",2.2300666100494e-06,9.66362197688072e-05,3.85153804386699e-05,"Bmp4/Pou5f1/Sox2",3
"GO:0030509","GO:0030509","BMP signaling pathway","4/13","166/21077",2.51030550257887e-06,0.000104894908500617,4.18069675805428e-05,"Bmp4/Nanog/Pou5f1/Smad6",4
"GO:0071772","GO:0071772","response to BMP","4/13","177/21077",3.23993969444746e-06,0.000126357648083451,5.03611678821132e-05,"Bmp4/Nanog/Pou5f1/Smad6",4
"GO:0071773","GO:0071773","cellular response to BMP stimulus","4/13","177/21077",3.23993969444746e-06,0.000126357648083451,5.03611678821132e-05,"Bmp4/Nanog/Pou5f1/Smad6",4
"GO:0061614","GO:0061614","pri-miRNA transcription by RNA polymerase II","3/13","52/21077",3.98077469347312e-06,0.000150242141656889,5.98805836743155e-05,"Bmp4/Klf4/Smad6",3
"GO:0009948","GO:0009948","anterior/posterior axis specification","3/13","54/21077",4.46465242184448e-06,0.000163238854173689,6.50605599630626e-05,"Bmp4/Cdx2/Lefty1",3
"GO:2000648","GO:2000648","positive regulation of stem cell proliferation","3/13","56/21077",4.98597109271235e-06,0.000172312790270426,6.86770725054418e-05,"Bmp4/Nanog/Sox2",3
"GO:0048608","GO:0048608","reproductive structure development","5/13","453/21077",5.00738023008074e-06,0.000172312790270426,6.86770725054418e-05,"Bmp4/Esrrb/Nanog/Sox2/Cdx2",5
"GO:0061458","GO:0061458","reproductive system development","5/13","457/21077",5.22669887083384e-06,0.000174721076539303,6.96369202941171e-05,"Bmp4/Esrrb/Nanog/Sox2/Cdx2",5
"GO:0043542","GO:0043542","endothelial cell migration","4/13","202/21077",5.47225856190781e-06,0.000177848403262004,7.0883349208338e-05,"Bmp4/Klf4/Fgf4/Pecam1",4
"GO:0001825","GO:0001825","blastocyst formation","3/13","59/21077",5.84111857674443e-06,0.000184705641480837,7.36163735276752e-05,"Esrrb/Pou5f1/Cdx2",3
"GO:0048839","GO:0048839","inner ear development","4/13","208/21077",6.14463237411515e-06,0.000189189996781966,7.54036604358174e-05,"Bmp4/Esrrb/Gbx2/Sox2",4
"GO:0060393","GO:0060393","regulation of pathway-restricted SMAD protein phosphorylation","3/13","63/21077",7.12499200179765e-06,0.000213635178161957,8.51465442426871e-05,"Bmp4/Smad6/Lefty1",3
"GO:0001707","GO:0001707","mesoderm formation","3/13","64/21077",7.47273877852179e-06,0.000213635178161957,8.51465442426871e-05,"Bmp4/Nanog/Pou5f1",3
