"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","url"
"mmu04550","mmu04550","Signaling pathways regulating pluripotency of stem cells","8/11","138/8657",5.39138367743837e-13,2.04872579742658e-11,1.70254221392791e-11,"12159/26380/16468/16600/71950/18999/13590/17869",8,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04550/12159/26380/16468/16600/71950/18999/13590/17869"")"
"mmu04350","mmu04350","TGF-beta signaling pathway","4/11","95/8657",4.23450373636822e-06,8.04555709909962e-05,6.68605853110771e-05,"12159/13590/18741/17869",4,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04350/12159/13590/18741/17869"")"
"mmu05226","mmu05226","Gastric cancer","3/11","150/8657",0.000759706796940494,0.00962295276124626,0.0079969136520052,"12591/14175/17869",3,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05226/12591/14175/17869"")"
"mmu04919","mmu04919","Thyroid hormone signaling pathway","2/11","118/8657",0.00935001322390248,0.0888251256270735,0.0738158938729143,"12159/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04919/12159/17869"")"
"mmu05224","mmu05224","Breast cancer","2/11","147/8657",0.0142456728818351,0.0985711508676694,0.081915083823548,"14175/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05224/14175/17869"")"
"mmu04390","mmu04390","Hippo signaling pathway","2/11","154/8657",0.0155638659264741,0.0985711508676694,0.081915083823548,"12159/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04390/12159/17869"")"
"mmu05205","mmu05205","Proteoglycans in cancer","2/11","205/8657",0.0266647545938596,0.144751524938095,0.120292125987336,"71950/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05205/71950/17869"")"
"mmu05216","mmu05216","Thyroid cancer","1/11","37/8657",0.0460480975699271,0.196234562625791,0.163075813816447,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05216/17869"")"
"mmu05219","mmu05219","Bladder cancer","1/11","41/8657",0.0509089891798776,0.196234562625791,0.163075813816447,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05219/17869"")"
"mmu04010","mmu04010","MAPK signaling pathway","2/11","294/8657",0.0516406743752081,0.196234562625791,0.163075813816447,"14175/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04010/14175/17869"")"
"mmu05213","mmu05213","Endometrial cancer","1/11","58/8657",0.0713175892894597,0.20674491063086,0.171810175039496,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05213/17869"")"
