"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","url"
"mmu04550","mmu04550","Signaling pathways regulating pluripotency of stem cells","6/10","138/8657",2.93313853446347e-09,5.5729632154806e-08,5.24877421956622e-08,"26380/16468/16600/18999/20674/13590",6,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04550/26380/16468/16600/18999/20674/13590"")"
"mmu05418","mmu05418","Fluid shear stress and atherosclerosis","2/10","144/8657",0.0113289709969814,0.107625224471323,0.101364477341412,"16598/18613",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05418/16598/18613"")"
"mmu00270","mmu00270","Cysteine and methionine metabolism","1/10","52/8657",0.0584987101709047,0.260274812871456,0.245134172787521,"13436",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu00270/13436"")"
"mmu05144","mmu05144","Malaria","1/10","56/8657",0.0628683787564723,0.260274812871456,0.245134172787521,"18613",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05144/18613"")"
"mmu05218","mmu05218","Melanoma","1/10","72/8657",0.0801651224365729,0.260274812871456,0.245134172787521,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05218/14175"")"
"mmu04350","mmu04350","TGF-beta signaling pathway","1/10","95/8657",0.10452597438125,0.260274812871456,0.245134172787521,"13590",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04350/13590"")"
"mmu04670","mmu04670","Leukocyte transendothelial migration","1/10","115/8657",0.125235639560758,0.260274812871456,0.245134172787521,"18613",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04670/18613"")"
"mmu04068","mmu04068","FoxO signaling pathway","1/10","131/8657",0.141491901618136,0.260274812871456,0.245134172787521,"16598",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04068/16598"")"
"mmu04371","mmu04371","Apelin signaling pathway","1/10","137/8657",0.147517553095316,0.260274812871456,0.245134172787521,"16598",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04371/16598"")"
"mmu05224","mmu05224","Breast cancer","1/10","147/8657",0.157475766868561,0.260274812871456,0.245134172787521,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05224/14175"")"
"mmu05226","mmu05226","Gastric cancer","1/10","150/8657",0.160442747026684,0.260274812871456,0.245134172787521,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05226/14175"")"
"mmu04390","mmu04390","Hippo signaling pathway","1/10","154/8657",0.164384092339867,0.260274812871456,0.245134172787521,"20674",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04390/20674"")"
"mmu04514","mmu04514","Cell adhesion molecules (CAMs)","1/10","171/8657",0.180949697972917,0.264464943191186,0.249080555914136,"18613",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04514/18613"")"
"mmu04015","mmu04015","Rap1 signaling pathway","1/10","214/8657",0.221539725002092,0.282608878257729,0.266169026613927,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04015/14175"")"
"mmu04810","mmu04810","Regulation of actin cytoskeleton","1/10","216/8657",0.223382779171215,0.282608878257729,0.266169026613927,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04810/14175"")"
"mmu04014","mmu04014","Ras signaling pathway","1/10","232/8657",0.237986423795982,0.282608878257729,0.266169026613927,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04014/14175"")"
"mmu04010","mmu04010","MAPK signaling pathway","1/10","294/8657",0.292270381576113,0.31651258765051,0.298100498064192,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04010/14175"")"
"mmu05206","mmu05206","MicroRNAs in cancer","1/10","303/8657",0.299854030405746,0.31651258765051,0.298100498064192,"13436",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05206/13436"")"
"mmu04151","mmu04151","PI3K-Akt signaling pathway","1/10","355/8657",0.342256582891714,0.342256582891714,0.322346920175022,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04151/14175"")"
