"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","url"
"mmu04350","mmu04350","TGF-beta signaling pathway","3/5","95/8657",1.26017551086253e-05,0.000151221061303503,9.28550376425021e-05,"17130/13590/18741",3,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04350/17130/13590/18741"")"
"mmu04550","mmu04550","Signaling pathways regulating pluripotency of stem cells","2/5","138/8657",0.00244462099161911,0.011527499267907,0.00707828902415339,"14183/13590",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04550/14183/13590"")"
"mmu05226","mmu05226","Gastric cancer","2/5","150/8657",0.00288187481697674,0.011527499267907,0.00707828902415339,"14183/12591",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05226/14183/12591"")"
"mmu05230","mmu05230","Central carbon metabolism in cancer","1/5","67/8657",0.0381113121469688,0.107550687826456,0.066039896033789,"14183",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05230/14183"")"
"mmu01521","mmu01521","EGFR tyrosine kinase inhibitor resistance","1/5","79/8657",0.0448127865943568,0.107550687826456,0.066039896033789,"14183",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu01521/14183"")"
"mmu05215","mmu05215","Prostate cancer","1/5","99/8657",0.0558988692979467,0.111797738595893,0.0686477342255486,"14183",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05215/14183"")"
"mmu04015","mmu04015","Rap1 signaling pathway","1/5","214/8657",0.117663716260067,0.169375151679705,0.104002286119117,"14183",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04015/14183"")"
"mmu04810","mmu04810","Regulation of actin cytoskeleton","1/5","216/8657",0.118708519350019,0.169375151679705,0.104002286119117,"14183",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04810/14183"")"
"mmu04014","mmu04014","Ras signaling pathway","1/5","232/8657",0.127031363759779,0.169375151679705,0.104002286119117,"14183",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04014/14183"")"
"mmu04144","mmu04144","Endocytosis","1/5","269/8657",0.146037249433825,0.173116991358873,0.106299906974747,"14183",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04144/14183"")"
"mmu04010","mmu04010","MAPK signaling pathway","1/5","294/8657",0.158690575412301,0.173116991358873,0.106299906974747,"14183",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04010/14183"")"
"mmu04151","mmu04151","PI3K-Akt signaling pathway","1/5","355/8657",0.188936050204418,0.188936050204418,0.116013364160607,"14183",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04151/14183"")"
