"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","url"
"mmu04550","mmu04550","Signaling pathways regulating pluripotency of stem cells","6/11","138/8657",6.36856943354375e-09,1.33739958104419e-07,1.20667631372408e-07,"26380/16468/18999/20674/21423/13590",6,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04550/26380/16468/18999/20674/21423/13590"")"
"mmu05418","mmu05418","Fluid shear stress and atherosclerosis","2/11","144/8657",0.0136966551268981,0.14381487883243,0.129757785412719,"16598/18613",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05418/16598/18613"")"
"mmu05202","mmu05202","Transcriptional misregulation in cancer","2/11","183/8657",0.021562434487907,0.150937041415349,0.136183796765729,"21423/18109",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05202/21423/18109"")"
"mmu00270","mmu00270","Cysteine and methionine metabolism","1/11","52/8657",0.0641605659672628,0.28953734427741,0.261236701603678,"13436",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu00270/13436"")"
"mmu05144","mmu05144","Malaria","1/11","56/8657",0.0689374629231929,0.28953734427741,0.261236701603678,"18613",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05144/18613"")"
"mmu05218","mmu05218","Melanoma","1/11","72/8657",0.0878242078054365,0.289583724200409,0.261278548150745,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05218/14175"")"
"mmu04350","mmu04350","TGF-beta signaling pathway","1/11","95/8657",0.114364072268816,0.289583724200409,0.261278548150745,"13590",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04350/13590"")"
"mmu04670","mmu04670","Leukocyte transendothelial migration","1/11","115/8657",0.13686948961864,0.289583724200409,0.261278548150745,"18613",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04670/18613"")"
"mmu04068","mmu04068","FoxO signaling pathway","1/11","131/8657",0.154498095776575,0.289583724200409,0.261278548150745,"16598",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04068/16598"")"
"mmu04371","mmu04371","Apelin signaling pathway","1/11","137/8657",0.161023982518924,0.289583724200409,0.261278548150745,"16598",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04371/16598"")"
"mmu05224","mmu05224","Breast cancer","1/11","147/8657",0.171798776267233,0.289583724200409,0.261278548150745,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05224/14175"")"
"mmu05226","mmu05226","Gastric cancer","1/11","150/8657",0.175006594366339,0.289583724200409,0.261278548150745,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05226/14175"")"
"mmu04390","mmu04390","Hippo signaling pathway","1/11","154/8657",0.179266114981206,0.289583724200409,0.261278548150745,"20674",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04390/20674"")"
"mmu04514","mmu04514","Cell adhesion molecules (CAMs)","1/11","171/8657",0.197146945763668,0.295720418645502,0.26681541531925,"18613",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04514/18613"")"
"mmu04015","mmu04015","Rap1 signaling pathway","1/11","214/8657",0.240805423955434,0.317195984548412,0.286191865757966,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04015/14175"")"
"mmu04810","mmu04810","Regulation of actin cytoskeleton","1/11","216/8657",0.242782492331735,0.317195984548412,0.286191865757966,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04810/14175"")"
"mmu04014","mmu04014","Ras signaling pathway","1/11","232/8657",0.258431335288908,0.317195984548412,0.286191865757966,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04014/14175"")"
"mmu05166","mmu05166","Human T-cell leukemia virus 1 infection","1/11","246/8657",0.271882272470068,0.317195984548412,0.286191865757966,"21423",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05166/21423"")"
"mmu04010","mmu04010","MAPK signaling pathway","1/11","294/8657",0.316333352296204,0.340607277806271,0.30731483711844,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04010/14175"")"
"mmu05206","mmu05206","MicroRNAs in cancer","1/11","303/8657",0.32438788362502,0.340607277806271,0.30731483711844,"13436",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05206/13436"")"
"mmu04151","mmu04151","PI3K-Akt signaling pathway","1/11","355/8657",0.369260042250271,0.369260042250271,0.333166955413778,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04151/14175"")"
