"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","url"
"mmu04550","mmu04550","Signaling pathways regulating pluripotency of stem cells","8/12","138/8657",1.59580978484763e-12,3.35120054818003e-11,2.68767963763812e-11,"12159/26380/16600/71950/18999/20674/21423/13590",8,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04550/12159/26380/16600/71950/18999/20674/21423/13590"")"
"mmu04350","mmu04350","TGF-beta signaling pathway","3/12","95/8657",0.000262163435419706,0.00275271607190691,0.00220769208774489,"12159/17130/13590",3,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04350/12159/17130/13590"")"
"mmu05418","mmu05418","Fluid shear stress and atherosclerosis","2/12","144/8657",0.0162583327147877,0.0775351424246832,0.0621835728719264,"12159/18613",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05418/12159/18613"")"
"mmu05226","mmu05226","Gastric cancer","2/12","150/8657",0.0175651047415947,0.0775351424246832,0.0621835728719264,"12591/14175",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05226/12591/14175"")"
"mmu04390","mmu04390","Hippo signaling pathway","2/12","154/8657",0.0184607481963531,0.0775351424246832,0.0621835728719264,"12159/20674",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04390/12159/20674"")"
"mmu05144","mmu05144","Malaria","1/12","56/8657",0.0749679396842735,0.250478543722532,0.200885047597018,"18613",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05144/18613"")"
"mmu05217","mmu05217","Basal cell carcinoma","1/12","63/8657",0.0839674872793024,0.250478543722532,0.200885047597018,"12159",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05217/12159"")"
"mmu05218","mmu05218","Melanoma","1/12","72/8657",0.0954203976085835,0.250478543722532,0.200885047597018,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05218/14175"")"
"mmu04670","mmu04670","Leukocyte transendothelial migration","1/12","115/8657",0.148349944013026,0.319062610727392,0.2558898131147,"18613",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04670/18613"")"
"mmu04919","mmu04919","Thyroid hormone signaling pathway","1/12","118/8657",0.151934576536853,0.319062610727392,0.2558898131147,"12159",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04919/12159"")"
"mmu05224","mmu05224","Breast cancer","1/12","147/8657",0.18587992129253,0.341365518182589,0.273776856687791,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05224/14175"")"
"mmu04514","mmu04514","Cell adhesion molecules (CAMs)","1/12","171/8657",0.213025718869661,0.341365518182589,0.273776856687791,"18613",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04514/18613"")"
"mmu05202","mmu05202","Transcriptional misregulation in cancer","1/12","183/8657",0.226285138543502,0.341365518182589,0.273776856687791,"21423",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05202/21423"")"
"mmu05205","mmu05205","Proteoglycans in cancer","1/12","205/8657",0.250063535574105,0.341365518182589,0.273776856687791,"71950",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05205/71950"")"
"mmu04015","mmu04015","Rap1 signaling pathway","1/12","214/8657",0.259596499513327,0.341365518182589,0.273776856687791,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04015/14175"")"
"mmu04810","mmu04810","Regulation of actin cytoskeleton","1/12","216/8657",0.261699793009082,0.341365518182589,0.273776856687791,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04810/14175"")"
"mmu04014","mmu04014","Ras signaling pathway","1/12","232/8657",0.278330008688512,0.341365518182589,0.273776856687791,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04014/14175"")"
"mmu05166","mmu05166","Human T-cell leukemia virus 1 infection","1/12","246/8657",0.292599015585076,0.341365518182589,0.273776856687791,"21423",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05166/21423"")"
"mmu04010","mmu04010","MAPK signaling pathway","1/12","294/8657",0.339580864952336,0.358548622270009,0.287557792296749,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04010/14175"")"
"mmu04060","mmu04060","Cytokine-cytokine receptor interaction","1/12","296/8657",0.34147487835239,0.358548622270009,0.287557792296749,"12159",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04060/12159"")"
"mmu04151","mmu04151","PI3K-Akt signaling pathway","1/12","355/8657",0.395157877665625,0.395157877665625,0.316918598629073,"14175",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04151/14175"")"
