"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","url"
"mmu04350","mmu04350","TGF-beta signaling pathway","5/6","95/8657",8.51527042585337e-10,2.98034464904868e-08,2.06159178731187e-08,"12159/17130/13590/18741/17869",5,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04350/12159/17130/13590/18741/17869"")"
"mmu04550","mmu04550","Signaling pathways regulating pluripotency of stem cells","3/6","138/8657",7.65410199645231e-05,0.00133946784937915,0.000926549189044227,"12159/13590/17869",3,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04550/12159/13590/17869"")"
"mmu04919","mmu04919","Thyroid hormone signaling pathway","2/6","118/8657",0.00266628961956622,0.0311067122282726,0.0215174250000081,"12159/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04919/12159/17869"")"
"mmu04390","mmu04390","Hippo signaling pathway","2/6","154/8657",0.00449990019123579,0.0393741266733131,0.027236237999585,"12159/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04390/12159/17869"")"
"mmu05206","mmu05206","MicroRNAs in cancer","2/6","303/8657",0.0166833840287772,0.116783688201441,0.0807827016130266,"13436/17869",2,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05206/13436/17869"")"
"mmu05216","mmu05216","Thyroid cancer","1/6","37/8657",0.0253787898273521,0.135867009151349,0.0939831943001814,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05216/17869"")"
"mmu05219","mmu05219","Bladder cancer","1/6","41/8657",0.0280899918298451,0.135867009151349,0.0939831943001814,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05219/17869"")"
"mmu00270","mmu00270","Cysteine and methionine metabolism","1/6","52/8657",0.0355134102657199,0.135867009151349,0.0939831943001814,"13436",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu00270/13436"")"
"mmu05213","mmu05213","Endometrial cancer","1/6","58/8657",0.0395425915132578,0.135867009151349,0.0939831943001814,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05213/17869"")"
"mmu05217","mmu05217","Basal cell carcinoma","1/6","63/8657",0.0428895185655469,0.135867009151349,0.0939831943001814,"12159",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05217/12159"")"
"mmu05230","mmu05230","Central carbon metabolism in cancer","1/6","67/8657",0.0455600571869773,0.135867009151349,0.0939831943001814,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05230/17869"")"
"mmu05221","mmu05221","Acute myeloid leukemia","1/6","70/8657",0.0475588836603477,0.135867009151349,0.0939831943001814,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05221/17869"")"
"mmu05220","mmu05220","Chronic myeloid leukemia","1/6","76/8657",0.0515460727710697,0.135867009151349,0.0939831943001814,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05220/17869"")"
"mmu04012","mmu04012","ErbB signaling pathway","1/6","84/8657",0.0568406793936861,0.135867009151349,0.0939831943001814,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04012/17869"")"
"mmu05210","mmu05210","Colorectal cancer","1/6","88/8657",0.0594787319809352,0.135867009151349,0.0939831943001814,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05210/17869"")"
"mmu05222","mmu05222","Small cell lung cancer","1/6","92/8657",0.0621106327549025,0.135867009151349,0.0939831943001814,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05222/17869"")"
"mmu04110","mmu04110","Cell cycle","1/6","123/8657",0.0823005411036538,0.157623307703397,0.109032663975282,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04110/17869"")"
"mmu05418","mmu05418","Fluid shear stress and atherosclerosis","1/6","144/8657",0.0957707301885975,0.157623307703397,0.109032663975282,"12159",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05418/12159"")"
"mmu05224","mmu05224","Breast cancer","1/6","147/8657",0.0976815216439678,0.157623307703397,0.109032663975282,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05224/17869"")"
"mmu05226","mmu05226","Gastric cancer","1/6","150/8657",0.0995889470553634,0.157623307703397,0.109032663975282,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05226/17869"")"
"mmu05160","mmu05160","Hepatitis C","1/6","160/8657",0.105922782332937,0.157623307703397,0.109032663975282,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05160/17869"")"
"mmu04310","mmu04310","Wnt signaling pathway","1/6","162/8657",0.107185083093168,0.157623307703397,0.109032663975282,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04310/17869"")"
"mmu05161","mmu05161","Hepatitis B","1/6","162/8657",0.107185083093168,0.157623307703397,0.109032663975282,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05161/17869"")"
"mmu04630","mmu04630","JAK-STAT signaling pathway","1/6","165/8657",0.109075749364786,0.157623307703397,0.109032663975282,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04630/17869"")"
"mmu05225","mmu05225","Hepatocellular carcinoma","1/6","172/8657",0.11347433240933,0.157623307703397,0.109032663975282,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05225/17869"")"
"mmu05202","mmu05202","Transcriptional misregulation in cancer","1/6","183/8657",0.1203498212677,0.157623307703397,0.109032663975282,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05202/17869"")"
"mmu04218","mmu04218","Cellular senescence","1/6","185/8657",0.121595123085478,0.157623307703397,0.109032663975282,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04218/17869"")"
"mmu05205","mmu05205","Proteoglycans in cancer","1/6","205/8657",0.133967549072257,0.167459436340322,0.115836602581275,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05205/17869"")"
"mmu05167","mmu05167","Kaposi sarcoma-associated herpesvirus infection","1/6","216/8657",0.140710248409243,0.169822713597362,0.117471350759077,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05167/17869"")"
"mmu05169","mmu05169","Epstein-Barr virus infection","1/6","229/8657",0.148622435970565,0.173392841965659,0.119940913239404,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05169/17869"")"
"mmu05166","mmu05166","Human T-cell leukemia virus 1 infection","1/6","246/8657",0.158877453460253,0.17937777003577,0.12408086348339,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05166/17869"")"
"mmu05163","mmu05163","Human cytomegalovirus infection","1/6","255/8657",0.164264770259775,0.179664592471629,0.124279266972856,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu05163/17869"")"
"mmu04010","mmu04010","MAPK signaling pathway","1/6","294/8657",0.187278759742951,0.193987065715407,0.134186541697876,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04010/17869"")"
"mmu04060","mmu04060","Cytokine-cytokine receptor interaction","1/6","296/8657",0.188444578123538,0.193987065715407,0.134186541697876,"12159",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04060/12159"")"
"mmu04151","mmu04151","PI3K-Akt signaling pathway","1/6","355/8657",0.222214795254976,0.222214795254976,0.15371248995081,"17869",1,"=HYPERLINK(""http://www.kegg.jp/kegg-bin/show_pathway?mmu04151/17869"")"
